ApplicationDate,CreditScore,AnnualIncome,LoanAmount,EmploymentStatus,OutstandingDebt,EmploymentStartDate,LoanOutcome
2021-09-26 07:09:32.972972972,511,8629298,6905507,Self-Employed,400243,2014-10-07 01:05:54.179227200,Approved
2021-09-27 09:26:29.189189188,774,14134042,533270,Self-Employed,53192,2012-02-19 06:56:43.672238976,Approved
2021-09-28 11:43:25.405405408,302,8777984,8077076,Unemployed,241068,2014-01-09 10:23:07.119758848,Denied
2021-09-29 14:00:21.621621624,452,3987089,2611252,Employed,7931,2002-05-03 11:19:33.033707872,Denied
2021-09-30 16:17:17.837837840,415,5178326,3252188,Unemployed,411939,2015-09-09 21:52:55.774184704,Denied
2021-10-01 18:34:14.054054056,640,6434531,2798083,Employed,269668,2012-10-19 16:20:39.134009344,Approved
2021-10-02 20:51:10.270270272,430,12549688,3060848,Unemployed,428117,2008-06-07 19:48:37.292408896,Denied
2021-10-03 23:08:06.486486488,475,3276718,5898648,Self-Employed,447295,2008-11-18 03:41:46.878596896,Approved
2021-10-05 01:25:02.702702704,310,7347164,1051232,Self-Employed,303888,2011-11-23 05:16:53.209098368,Approved
2021-10-06 03:41:58.918918920,666,14514587,1236974,Self-Employed,273683,2001-07-20 20:18:36.799123048,Approved
2021-10-07 05:58:55.135135136,639,5160609,6296538,Unemployed,57854,2005-12-24 02:52:03.485886560,Approved
2021-10-08 08:15:51.351351352,626,12482801,8782940,Employed,141897,2012-05-02 22:44:13.877774720,Approved
2021-10-09 10:32:47.567567568,590,3734123,7184539,Unemployed,6343,2012-11-22 07:22:46.401753920,Denied
2021-10-10 12:49:43.783783784,341,6643616,8856221,Unemployed,426192,2005-02-03 15:57:22.148533856,Denied
2021-10-11 15:06:40.000000000,669,12904450,8496751,Employed,284266,2015-12-24 14:16:44.329953408,Approved
2021-10-12 17:23:36.216216216,359,3149865,9224272,Unemployed,331904,2012-08-08 14:58:57.845985216,Denied
2021-10-13 19:40:32.432432432,509,9113212,5505663,Employed,27016,2015-02-10 13:05:18.662647296,Denied
2021-10-14 21:57:28.648648648,636,9591316,2334631,Employed,185764,2006-12-08 04:39:47.503425600,Denied
2021-10-16 00:14:24.864864864,492,4040501,733845,Unemployed,340369,2008-04-15 23:36:43.014524544,Approved
2021-10-17 02:31:21.081081080,607,12136885,8003146,Self-Employed,103749,2010-01-21 07:00:16.771718272,Approved
2021-10-18 04:48:17.297297296,783,8300108,1510116,Employed,127068,2002-11-03 14:48:18.547547280,Approved
2021-10-19 07:05:13.513513516,655,14818965,298852,Unemployed,346382,2006-02-16 13:29:46.681282560,Denied
2021-10-20 09:22:09.729729732,384,12199880,6112694,Unemployed,154267,2012-01-26 06:29:29.909564288,Denied
2021-10-21 11:39:05.945945948,399,13037715,7594276,Employed,183241,2014-04-29 22:04:22.428062528,Approved
2021-10-22 13:56:02.162162164,444,7084186,4593140,Self-Employed,417905,2005-05-17 03:29:32.869279264,Approved
2021-10-23 16:12:58.378378380,414,3973009,3371457,Self-Employed,350056,2005-05-23 13:12:48.539325856,Denied
2021-10-24 18:29:54.594594596,702,13402345,4943333,Employed,237561,2000-03-22 15:56:34.793093999,Denied
2021-10-25 20:46:50.810810812,326,13221997,6680605,Employed,42874,2005-12-22 12:26:14.568374912,Approved
2021-10-26 23:03:47.027027028,612,5459326,5664756,Unemployed,206510,2003-12-28 03:31:54.935598800,Approved
2021-10-28 01:20:43.243243244,477,9109169,1936590,Self-Employed,354421,2011-09-12 03:55:11.921074304,Approved
2021-10-29 03:37:39.459459460,829,12592708,738641,Self-Employed,39893,2009-12-28 06:33:03.009043584,Denied
2021-10-30 05:54:35.675675676,828,12153164,9772178,Employed,66387,2010-06-17 14:35:17.182789824,Denied
2021-10-31 08:11:31.891891892,489,10547481,8758351,Employed,150085,2005-06-13 08:48:24.466977248,Approved
2021-11-01 10:28:28.108108108,448,8204204,189195,Unemployed,277021,2003-12-26 13:06:06.018087152,Denied
2021-11-02 12:45:24.324324324,331,12074222,6399658,Self-Employed,86406,2001-07-19 05:52:47.881611400,Approved
2021-11-03 15:02:20.540540540,423,8211805,4413720,Self-Employed,158777,2001-01-27 07:24:44.790353524,Approved
2021-11-04 17:19:16.756756756,540,14883891,4507963,Employed,98206,2007-10-11 15:16:19.665661824,Approved
2021-11-05 19:36:12.972972972,768,5476543,7207080,Self-Employed,380939,2005-01-04 05:46:52.715812544,Approved
2021-11-06 21:53:09.189189188,535,6675335,648679,Unemployed,68066,2009-12-02 15:40:00.328857216,Approved
2021-11-08 00:10:05.405405408,774,8635424,9284187,Employed,206836,2002-05-01 20:53:44.116196224,Approved
2021-11-09 02:27:01.621621624,594,4389021,4819748,Unemployed,305218,2000-11-11 10:45:36.749794464,Approved
2021-11-10 04:43:57.837837840,344,9115184,6489968,Self-Employed,381961,2012-02-25 16:39:59.342285568,Approved
2021-11-11 07:00:54.054054056,807,8023842,2602796,Unemployed,388212,2006-04-24 19:34:01.216771712,Denied
2021-11-12 09:17:50.270270272,391,7094872,2571102,Unemployed,201367,2003-10-09 02:01:09.060016448,Approved
2021-11-13 11:34:46.486486488,545,7008045,2108692,Self-Employed,253743,2001-02-28 08:01:03.140586464,Approved
2021-11-14 13:51:42.702702704,413,8492333,8317121,Unemployed,109259,2005-02-26 01:58:46.993696896,Approved
2021-11-15 16:08:38.918918920,760,14005500,6301356,Self-Employed,259946,2004-03-31 14:55:01.068785968,Denied
2021-11-16 18:25:35.135135136,339,8032108,1365330,Self-Employed,116377,2008-04-20 18:54:09.767059488,Approved
2021-11-17 20:42:31.351351352,732,11248702,2159995,Self-Employed,290533,2002-06-17 07:22:22.724033984,Approved
2021-11-18 22:59:27.567567568,366,6274871,8872208,Employed,365822,2003-03-08 12:21:54.113455744,Denied
2021-11-20 01:16:23.783783784,470,6708835,4619063,Employed,349317,2006-05-14 00:43:48.226911488,Denied
2021-11-21 03:33:20.000000000,797,9270538,7508683,Unemployed,410564,2003-02-18 21:37:56.020827632,Denied
2021-11-22 05:50:16.216216216,572,14313559,2269188,Self-Employed,94073,2015-05-06 09:53:31.290764608,Denied
2021-11-23 08:07:12.432432432,529,13236365,4865458,Self-Employed,36004,2014-05-31 22:40:40.778295424,Denied
2021-11-24 10:24:08.648648648,510,10926801,981499,Self-Employed,459826,2001-04-07 18:20:37.160865992,Approved
2021-11-25 12:41:04.864864864,541,10563230,3212871,Self-Employed,298438,2008-07-13 01:16:33.477665120,Denied
2021-11-26 14:58:01.081081080,777,6773159,3466706,Self-Employed,58257,2013-05-12 15:25:00.575500160,Denied
2021-11-27 17:14:57.297297300,640,14594224,4039710,Unemployed,128541,2006-06-10 06:02:39.824609504,Denied
2021-11-28 19:31:53.513513516,400,6442734,9874247,Self-Employed,400806,2009-06-17 12:29:23.990134272,Denied
2021-11-29 21:48:49.729729732,382,8174895,1045351,Self-Employed,190882,2012-11-17 12:05:19.649219008,Approved
2021-12-01 00:05:45.945945948,424,7818074,296823,Self-Employed,178671,2013-06-16 20:52:56.760756416,Denied
2021-12-02 02:22:42.162162164,344,10904021,2459296,Self-Employed,84027,2003-04-19 03:33:05.968758560,Denied
2021-12-03 04:39:38.378378380,557,12715405,9670352,Unemployed,298662,2002-07-06 12:32:09.734173744,Approved
2021-12-04 06:56:34.594594596,830,3657571,9391218,Unemployed,273613,2009-09-29 14:27:23.628391360,Denied
2021-12-05 09:13:30.810810812,728,4466830,5285924,Self-Employed,238597,2005-08-21 05:18:27.919978080,Approved
2021-12-06 11:30:27.027027028,654,12276916,7683315,Self-Employed,254680,2008-03-19 18:17:51.416826528,Approved
2021-12-07 13:47:23.243243244,803,4382843,5152793,Self-Employed,282233,2006-09-03 02:50:52.452726784,Approved
2021-12-08 16:04:19.459459460,408,14901927,2180805,Employed,77354,2005-02-14 20:58:04.571115392,Approved
2021-12-09 18:21:15.675675676,459,9918438,6876196,Employed,234482,2014-09-17 19:56:07.169087424,Denied
2021-12-10 20:38:11.891891892,433,8793987,9256128,Self-Employed,405346,2012-07-04 09:31:01.660728960,Approved
2021-12-11 22:55:08.108108108,301,4081700,8440707,Employed,394033,2009-02-23 19:56:30.846807360,Denied
2021-12-13 01:12:04.324324324,655,10951500,8566351,Unemployed,267514,2000-01-18 14:43:58.092628117,Approved
2021-12-14 03:29:00.540540540,647,8101965,1274403,Employed,319888,2012-01-03 20:28:05.064401216,Approved
2021-12-15 05:45:56.756756756,667,11972424,7959117,Self-Employed,381399,2000-11-06 15:28:09.997259524,Denied
2021-12-16 08:02:52.972972972,720,10900843,100662,Self-Employed,112409,2013-05-06 05:41:44.905453568,Approved
2021-12-17 10:19:49.189189192,775,13177805,5291514,Employed,411941,2012-07-18 19:23:21.918333824,Approved
2021-12-18 12:36:45.405405408,791,11749420,4559572,Unemployed,382852,2009-01-22 19:20:12.496574400,Denied
2021-12-19 14:53:41.621621624,458,12044407,2316652,Unemployed,58967,2003-01-08 06:26:44.165524800,Denied
2021-12-20 17:10:37.837837840,343,14839255,7173207,Unemployed,318769,2013-11-15 23:45:23.924362880,Denied
2021-12-21 19:27:34.054054056,566,12785914,8666316,Unemployed,339085,2009-01-06 19:02:03.321457952,Denied
2021-12-22 21:44:30.270270272,755,7362082,7477629,Self-Employed,337711,2007-08-08 14:03:42.965195968,Approved
2021-12-24 00:01:26.486486488,567,3449120,4088946,Self-Employed,109828,2008-12-02 13:34:07.136201696,Denied
2021-12-25 02:18:22.702702704,362,6809967,5068605,Self-Employed,142970,2000-04-01 06:31:28.298163881,Denied
2021-12-26 04:35:18.918918920,563,4328640,845597,Unemployed,306311,2000-01-23 10:01:24.845163058,Denied
2021-12-27 06:52:15.135135136,320,6928518,710945,Unemployed,162075,2014-07-30 04:35:50.726226368,Approved
2021-12-28 09:09:11.351351352,333,7458075,9829155,Self-Employed,177394,2014-07-09 09:00:14.798574976,Denied
2021-12-29 11:26:07.567567568,429,3414517,9867160,Self-Employed,461253,2010-12-18 18:04:02.696629248,Denied
2021-12-30 13:43:03.783783784,618,7698544,2941334,Employed,187720,2015-06-25 01:13:47.733625664,Denied
2021-12-31 16:00:00.000000000,513,8302215,6415235,Employed,101422,2010-02-09 12:10:03.781858048,Denied
2022-01-01 18:16:56.216216216,630,10653802,418514,Unemployed,168283,2015-03-19 08:59:03.765415168,Approved
2022-01-02 20:33:52.432432432,434,14733882,6865998,Employed,446251,2007-11-23 20:53:20.438476288,Approved
2022-01-03 22:50:48.648648648,453,3317388,4958852,Employed,489858,2000-03-03 10:46:47.782954234,Denied
2022-01-05 01:07:44.864864864,740,14141586,7713215,Employed,143452,2009-02-11 00:29:59.506714176,Approved
2022-01-06 03:24:41.081081080,822,6083487,9862159,Employed,254393,2015-11-27 08:57:52.732255424,Denied
2022-01-07 05:41:37.297297300,798,10981720,1095996,Unemployed,112036,2011-11-16 19:33:37.539051776,Denied
2022-01-08 07:58:33.513513516,829,14951448,1240746,Unemployed,387647,2013-04-20 05:23:35.730337088,Denied
2022-01-09 10:15:29.729729732,374,7138221,6220266,Unemployed,439411,2007-06-23 03:35:04.357358176,Approved
2022-01-10 12:32:25.945945948,594,3588371,9742849,Unemployed,14602,2006-12-22 14:32:07.761030432,Denied
2022-01-11 14:49:22.162162164,675,8459059,8111821,Employed,103839,2006-04-12 00:07:29.876678560,Denied
2022-01-12 17:06:18.378378380,835,7669757,7829334,Self-Employed,214694,2001-03-25 22:54:05.820772816,Approved
2022-01-13 19:23:14.594594596,699,12072191,1800788,Self-Employed,198505,2000-07-15 22:55:16.853932584,Denied
2022-01-14 21:40:10.810810812,579,7129113,9745026,Employed,17214,2005-03-18 21:34:22.921348320,Approved
2022-01-15 23:57:07.027027028,466,9910833,525536,Employed,340863,2006-03-30 04:40:58.536585376,Approved
2022-01-17 02:14:03.243243244,468,6097726,8087536,Employed,282546,2004-06-18 01:59:58.026856672,Approved
2022-01-18 04:30:59.459459460,351,14135424,2625919,Unemployed,143462,2003-03-03 17:04:27.360920800,Approved
2022-01-19 06:47:55.675675676,357,8565925,7607546,Self-Employed,28498,2010-07-21 05:37:24.450534400,Approved
2022-01-20 09:04:51.891891892,564,5023040,8239222,Employed,81607,2008-08-23 16:27:45.332967936,Denied
2022-01-21 11:21:48.108108108,520,10566427,764411,Unemployed,440370,2005-10-24 06:31:04.620443968,Approved
2022-01-22 13:38:44.324324324,760,7000409,4671824,Unemployed,181059,2003-06-20 14:19:53.751712800,Denied
2022-01-23 15:55:40.540540540,725,4549256,2337571,Employed,383247,2013-03-30 09:47:59.802685696,Approved
2022-01-24 18:12:36.756756756,690,4773276,822165,Self-Employed,361644,2006-09-17 12:43:12.710331616,Denied
2022-01-25 20:29:32.972972972,832,5839837,8171623,Unemployed,266609,2002-02-15 14:40:24.993148808,Approved
2022-01-26 22:46:29.189189192,450,8697641,2948311,Employed,173480,2009-08-09 08:41:18.268018624,Denied
2022-01-28 01:03:25.405405408,780,7045131,6252518,Self-Employed,317333,2011-04-01 20:02:02.334886272,Approved
2022-01-29 03:20:21.621621624,542,12303421,8449561,Employed,27783,2010-01-03 16:16:18.679090176,Denied
2022-01-30 05:37:17.837837840,695,5890221,9139524,Employed,286504,2000-07-12 18:03:39.018909290,Denied
2022-01-31 07:54:14.054054056,485,11516047,1987498,Unemployed,347542,2003-08-30 01:15:46.122225264,Denied
2022-02-01 10:11:10.270270272,508,12930126,128703,Self-Employed,478777,2006-01-07 12:44:23.743491360,Denied
2022-02-02 12:28:06.486486488,453,10198065,2632295,Employed,147770,2015-09-27 12:36:53.866812864,Approved
2022-02-03 14:45:02.702702704,406,9204024,3522114,Unemployed,486734,2007-05-23 17:24:34.924636896,Denied
2022-02-04 17:01:58.918918920,732,3050815,5825476,Unemployed,483284,2000-12-26 06:48:26.440120584,Approved
2022-02-05 19:18:55.135135136,309,14700851,8787091,Employed,325357,2007-11-28 16:10:47.191011232,Denied
2022-02-06 21:35:51.351351352,661,7296961,2771760,Employed,406021,2004-03-10 19:19:25.141134560,Denied
2022-02-07 23:52:47.567567568,800,11702034,6158890,Self-Employed,459323,2009-03-21 10:49:33.526993728,Denied
2022-02-09 02:09:43.783783784,732,10257615,8799161,Self-Employed,336714,2014-07-28 14:10:01.808714752,Approved
2022-02-10 04:26:40.000000000,677,3761079,7014388,Employed,268619,2008-04-30 09:29:03.272129344,Denied
2022-02-11 06:43:36.216216216,353,6901633,579173,Unemployed,24352,2014-03-30 11:53:52.995341184,Approved
2022-02-12 09:00:32.432432432,312,5109125,2770171,Employed,58585,2007-04-28 02:31:32.244450528,Denied
2022-02-13 11:17:28.648648648,313,12625396,1556513,Unemployed,445641,2008-10-20 07:57:06.363387232,Approved
2022-02-14 13:34:24.864864864,358,11084390,6234702,Unemployed,138118,2011-05-31 01:57:12.282817216,Approved
2022-02-15 15:51:21.081081084,687,4053645,5596286,Self-Employed,33245,2011-03-21 15:01:19.912304768,Approved
2022-02-16 18:08:17.297297300,664,10891708,2288868,Self-Employed,84665,2015-03-03 08:40:54.590298752,Approved
2022-02-17 20:25:13.513513516,720,12690453,8762070,Unemployed,309351,2009-05-30 21:45:25.897506176,Approved
2022-02-18 22:42:09.729729732,303,8756199,9778749,Self-Employed,105508,2004-06-08 11:25:04.521786800,Approved
2022-02-20 00:59:05.945945948,391,8177820,2372829,Self-Employed,174394,2001-07-19 05:52:47.881611400,Denied
2022-02-21 03:16:02.162162164,432,11859982,6303233,Self-Employed,100530,2002-02-23 14:49:29.580707048,Denied
2022-02-22 05:32:58.378378376,724,5474275,5697646,Unemployed,307567,2005-09-07 20:02:26.012606208,Denied
2022-02-23 07:49:54.594594592,581,13412587,3194983,Employed,261498,2007-05-18 22:07:08.172101952,Denied
2022-02-24 10:06:50.810810808,580,6462913,7077459,Self-Employed,407593,2012-04-12 03:08:37.950123328,Denied
2022-02-25 12:23:47.027027024,717,12806412,6725572,Employed,42687,2006-02-24 13:38:51.268840800,Approved
2022-02-26 14:40:43.243243248,755,3157701,2829874,Employed,52857,2015-11-28 23:23:41.649767104,Approved
2022-02-27 16:57:39.459459464,722,11431784,9714583,Employed,276234,2003-09-08 15:50:39.627295152,Approved
2022-02-28 19:14:35.675675680,513,9772192,8043476,Unemployed,366636,2003-01-25 21:10:42.258152928,Approved
2022-03-01 21:31:31.891891896,822,10498893,958825,Unemployed,82987,2014-11-30 11:43:37.374623232,Denied
2022-03-02 23:48:28.108108112,800,8835394,2963936,Unemployed,187479,2010-11-26 08:02:37.851466176,Denied
2022-03-04 02:05:24.324324328,838,4976219,8883836,Unemployed,316334,2008-11-14 22:50:09.043573600,Approved
2022-03-05 04:22:20.540540544,304,13621557,2356030,Unemployed,90152,2004-04-24 15:22:14.831460672,Denied
2022-03-06 06:39:16.756756760,796,12229823,192412,Employed,492806,2007-06-13 13:00:10.852288320,Approved
2022-03-07 08:56:12.972972976,351,6087701,3560545,Self-Employed,45487,2010-11-27 22:28:26.768977792,Approved
2022-03-08 11:13:09.189189192,359,12967765,8993910,Employed,410701,2015-03-08 03:58:21.342833664,Denied
2022-03-09 13:30:05.405405408,635,12344541,6322687,Employed,413648,2008-07-16 06:08:11.312688416,Denied
2022-03-10 15:47:01.621621624,678,14415253,4948468,Unemployed,306094,2001-01-27 07:24:44.790353524,Denied
2022-03-11 18:03:57.837837840,699,6949876,9654282,Self-Employed,13996,2007-01-17 05:25:10.441216768,Denied
2022-03-12 20:20:54.054054056,655,3967804,5114305,Self-Employed,422291,2002-09-21 09:11:17.774732800,Denied
2022-03-13 22:37:50.270270272,394,5334474,6903702,Unemployed,342199,2011-05-13 11:13:14.190189120,Approved
2022-03-15 00:54:46.486486488,651,3481587,9517882,Employed,385220,2011-05-26 06:39:45.530282304,Approved
2022-03-16 03:11:42.702702704,813,3251628,6003525,Self-Employed,263180,2011-11-15 05:07:48.621540160,Denied
2022-03-17 05:28:38.918918920,560,12648959,4022305,Self-Employed,250654,2000-10-10 10:09:18.399561524,Denied
2022-03-18 07:45:35.135135136,564,3019496,7131216,Self-Employed,419915,2009-09-03 23:34:20.948204992,Approved
2022-03-19 10:02:31.351351352,707,14576379,5984574,Employed,466535,2001-03-19 13:10:50.150726224,Denied
2022-03-20 12:19:27.567567568,627,5504379,9135064,Employed,407414,2003-06-23 19:11:31.586736096,Denied
2022-03-21 14:36:23.783783784,728,6439553,1928899,Unemployed,274827,2004-09-01 08:13:17.149904096,Denied
2022-03-22 16:53:20.000000000,638,6669954,8250383,Employed,219125,2012-01-05 10:53:53.981912896,Approved
2022-03-23 19:10:16.216216216,380,13126450,6543671,Employed,371913,2003-09-10 06:16:28.544806800,Approved
2022-03-24 21:27:12.432432432,559,10989862,4427427,Employed,247373,2010-08-17 10:56:16.048232384,Approved
2022-03-25 23:44:08.648648648,557,5496641,7390619,Unemployed,149920,2014-12-14 21:35:57.632228032,Approved
2022-03-27 02:01:04.864864864,330,8310908,1957850,Employed,492481,2003-07-30 15:05:16.689503984,Denied
2022-03-28 04:18:01.081081080,705,9053862,3575754,Employed,188210,2003-01-05 01:35:06.330501504,Approved
2022-03-29 06:34:57.297297296,781,7570629,799575,Employed,28046,2003-07-16 05:12:56.431899152,Approved
2022-03-30 08:51:53.513513512,609,3411528,2421733,Self-Employed,215575,2007-06-11 22:34:21.934776672,Approved
2022-03-31 11:08:49.729729728,308,4157041,8407646,Unemployed,125257,2003-09-15 01:33:55.297341744,Denied
2022-04-01 13:25:45.945945944,731,13767900,9364399,Employed,301006,2010-03-05 12:37:17.544532736,Approved
2022-04-02 15:42:42.162162160,565,11431809,5277683,Employed,299585,2003-05-22 18:35:13.236503152,Approved
2022-04-03 17:59:38.378378376,517,11621889,2109445,Unemployed,25458,2013-05-28 15:43:09.750616640,Denied
2022-04-04 20:16:34.594594592,553,5509238,2382619,Employed,376000,2006-10-14 18:02:04.308029600,Denied
2022-04-05 22:33:30.810810808,849,12784157,6040305,Self-Employed,294628,2002-07-11 07:49:36.486708688,Approved
2022-04-07 00:50:27.027027032,818,5454535,5803868,Employed,166415,2010-07-08 10:10:53.110441216,Approved
2022-04-08 03:07:23.243243248,839,14929463,6380112,Self-Employed,256009,2014-08-02 09:27:28.561249664,Denied
2022-04-09 05:24:19.459459464,634,6738266,8664268,Self-Employed,81980,2003-04-17 13:07:17.051246928,Denied
2022-04-10 07:41:15.675675680,846,13781048,926194,Employed,306759,2014-06-29 18:25:21.293505088,Approved
2022-04-11 09:58:11.891891896,456,8463947,359929,Employed,436447,2009-04-28 21:09:07.547273216,Approved
2022-04-12 12:15:08.108108112,437,14440867,2145492,Self-Employed,249827,2000-04-04 11:23:06.133187175,Denied
2022-04-13 14:32:04.324324328,321,11030196,9023124,Unemployed,180192,2006-08-05 07:06:11.937517120,Denied
2022-04-14 16:49:00.540540544,532,11712588,2582070,Self-Employed,161250,2013-02-26 09:11:41.452452736,Approved
2022-04-15 19:05:56.756756760,410,10014441,691562,Self-Employed,287484,2012-08-19 19:59:40.268566720,Denied
2022-04-16 21:22:52.972972976,534,4339280,1340986,Employed,56435,2010-01-24 11:51:54.606741568,Approved
2022-04-17 23:39:49.189189192,607,4317384,5998687,Self-Employed,77344,2002-03-19 15:16:43.343381752,Denied
2022-04-19 01:56:45.405405408,377,14007802,5731501,Unemployed,490736,2000-02-06 19:53:45.102767881,Approved
2022-04-20 04:13:41.621621624,809,10790796,5702892,Unemployed,394349,2009-07-29 03:40:35.845437120,Approved
2022-04-21 06:30:37.837837840,711,11172026,2331880,Self-Employed,222283,2003-09-29 11:26:15.554946560,Approved
2022-04-22 08:47:34.054054056,398,13130203,3158451,Unemployed,499735,2000-11-11 10:45:36.749794464,Approved
2022-04-23 11:04:30.270270272,477,4480981,3977625,Employed,476098,2015-08-24 21:34:46.599068224,Approved
2022-04-24 13:21:26.486486488,754,11626378,2112781,Self-Employed,343236,2001-05-14 14:14:22.263633872,Denied
2022-04-25 15:38:22.702702704,414,11751461,8016718,Self-Employed,284650,2009-08-15 18:24:33.938065216,Approved
2022-04-26 17:55:18.918918920,472,6031761,7231378,Self-Employed,497753,2011-11-05 14:32:55.116470272,Approved
2022-04-27 20:12:15.135135136,412,10643606,5329369,Employed,175711,2003-11-16 12:20:43.080295968,Denied
2022-04-28 22:29:11.351351352,661,13857370,5413372,Unemployed,448176,2004-11-28 09:53:07.613044672,Denied
2022-04-30 00:46:07.567567568,410,3918413,6401998,Unemployed,37617,2003-07-05 00:12:14.009317632,Denied
2022-05-01 03:03:03.783783784,707,9541018,8190515,Employed,79654,2014-03-30 11:53:52.995341184,Approved
2022-05-02 05:20:00.000000000,754,11224950,7472463,Unemployed,326859,2001-04-23 18:38:46.335982464,Denied
2022-05-03 07:36:56.216216216,717,13807224,7616390,Employed,437030,2005-07-31 09:42:51.992326656,Denied
2022-05-04 09:53:52.432432432,788,13349573,5455902,Unemployed,47348,2000-01-15 09:52:20.257604823,Approved
2022-05-05 12:10:48.648648648,476,6092992,450371,Unemployed,75790,2004-09-26 23:06:19.830090432,Denied
2022-05-06 14:27:44.864864864,353,5787307,8789046,Unemployed,70580,2006-11-30 04:30:42.915867360,Approved
2022-05-07 16:44:41.081081080,702,6962425,2868653,Self-Employed,247785,2010-09-26 11:41:38.986023552,Approved
2022-05-08 19:01:37.297297296,735,7275616,2714416,Self-Employed,200531,2000-06-07 12:35:42.833653056,Approved
2022-05-09 21:18:33.513513512,645,6461510,4311173,Self-Employed,116354,2007-11-14 06:18:26.933406432,Denied
2022-05-10 23:35:29.729729728,704,13155976,5468638,Unemployed,433593,2001-11-21 03:26:23.447519872,Denied
2022-05-12 01:52:25.945945944,511,12523095,5896047,Self-Employed,493936,2002-09-24 14:02:55.609756096,Denied
2022-05-13 04:09:22.162162160,426,12032925,8957761,Unemployed,113972,2015-08-20 02:17:19.846533312,Approved
2022-05-14 06:26:18.378378376,673,9903583,7733045,Employed,205616,2014-01-12 15:14:44.954782144,Denied
2022-05-15 08:43:14.594594592,604,10716783,3652852,Self-Employed,196132,2005-06-27 18:40:44.724582080,Denied
2022-05-16 11:00:10.810810808,720,14796517,5808007,Unemployed,77068,2006-02-16 13:29:46.681282560,Denied
2022-05-17 13:17:07.027027032,646,13933903,4203036,Unemployed,44660,2010-08-15 20:30:27.130720768,Denied
2022-05-18 15:34:03.243243248,767,12376836,7593593,Employed,364505,2011-04-30 15:46:42.850095936,Approved
2022-05-19 17:50:59.459459464,658,7906945,446769,Self-Employed,92643,2012-11-17 12:05:19.649219008,Approved
2022-05-20 20:07:55.675675680,810,11362935,5316094,Self-Employed,275743,2013-12-14 19:30:04.439572480,Approved
2022-05-21 22:24:51.891891896,372,3251339,8248708,Self-Employed,321759,2004-07-12 02:27:11.789531376,Approved
2022-05-23 00:41:48.108108112,848,6536869,4233942,Employed,287065,2006-05-17 05:35:26.061934784,Approved
2022-05-24 02:58:44.324324328,401,8166166,9341809,Self-Employed,472373,2012-10-24 11:38:05.886544256,Approved
2022-05-25 05:15:40.540540544,386,13355336,2180063,Employed,282615,2015-06-15 10:38:54.228555776,Denied
2022-05-26 07:32:36.756756760,313,3881049,609663,Unemployed,375962,2014-09-13 00:38:40.416552512,Denied
2022-05-27 09:49:32.972972976,832,10928674,4732890,Employed,482340,2010-05-27 18:59:41.255138432,Denied
2022-05-28 12:06:29.189189192,832,4423934,2131392,Self-Employed,377878,2014-12-02 02:09:26.292134848,Approved
2022-05-29 14:23:25.405405408,636,4476558,310205,Unemployed,207979,2006-03-14 04:22:49.361468896,Approved
2022-05-30 16:40:21.621621624,770,5268358,6219690,Self-Employed,266863,2006-08-19 16:58:32.195121952,Approved
2022-05-31 18:57:17.837837840,748,8433193,1606116,Unemployed,407629,2005-08-24 10:10:05.755001376,Approved
2022-06-01 21:14:14.054054056,724,7526809,485191,Self-Employed,213392,2014-02-02 10:50:20.882433536,Approved
2022-06-02 23:31:10.270270272,716,13949564,3559041,Unemployed,186448,2006-02-13 08:38:08.846259264,Approved
2022-06-04 01:48:06.486486488,441,10288050,9749324,Self-Employed,313639,2006-04-08 19:15:52.041655264,Denied
2022-06-05 04:05:02.702702704,369,11663044,6369928,Unemployed,399302,2013-01-09 08:17:13.927103360,Denied
2022-06-06 06:21:58.918918920,627,9893444,9522289,Self-Employed,340884,2010-08-09 10:47:11.460674176,Approved
2022-06-07 08:38:55.135135136,457,13626723,4794510,Self-Employed,430723,2000-07-12 18:03:39.018909290,Approved
2022-06-08 10:55:51.351351352,517,13110531,7755025,Employed,284955,2001-04-18 23:21:19.583447520,Denied
2022-06-09 13:12:47.567567568,406,3404145,9695391,Unemployed,126897,2004-04-19 20:04:48.078925744,Denied
2022-06-10 15:29:43.783783784,433,6905363,2965227,Unemployed,112481,2010-03-19 22:29:37.802137600,Denied
2022-06-11 17:46:40.000000000,651,7090566,1493964,Employed,285430,2011-06-24 02:24:26.045491904,Approved
2022-06-12 20:03:36.216216216,785,12035038,3632648,Employed,444752,2006-02-18 03:55:35.598794208,Approved
2022-06-13 22:20:32.432432432,661,10528365,4479183,Self-Employed,221008,2013-03-17 14:21:28.462592512,Approved
2022-06-15 00:37:28.648648648,506,8632487,8174825,Self-Employed,263380,2000-06-26 17:45:29.843792820,Denied
2022-06-16 02:54:24.864864864,731,12372199,3903693,Self-Employed,130531,2001-05-20 23:57:37.933680464,Approved
2022-06-17 05:11:21.081081080,432,14554274,1094059,Employed,363409,2005-12-27 07:43:41.320909856,Approved
2022-06-18 07:28:17.297297296,571,7795754,6860240,Unemployed,349812,2002-07-03 07:40:31.899150448,Denied
2022-06-19 09:45:13.513513512,785,10847572,853572,Self-Employed,498138,2010-09-21 16:24:12.233488640,Approved
2022-06-20 12:02:09.729729728,819,6765028,5430660,Employed,334119,2014-03-11 06:44:05.985201472,Denied
2022-06-21 14:19:05.945945944,646,13562281,6051596,Self-Employed,319038,2005-12-09 16:59:43.228281728,Approved
